code,label,n_jds,pct_jds
E1,Supervisory experience,43,75.4
E7,Equipment specialism,17,29.8
E11,Commodity/process specialism,16,28.1
E2,Operational experience,16,28.1
E3,Sector: Coal Surface,16,28.1
E5,Sector: Minerals,10,17.5
E8,Workforce context,7,12.3
E6,Sector: Quarry,6,10.5
E10,Industry breadth,5,8.8
E9,Project delivery experience,4,7.0
E4,Sector: Coal UG,3,5.3
E13,Contractor mgmt,2,3.5
E12,Equipment brand,1,1.8
